feature,avg_rank
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",10.666666666666666
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",13.0
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",14.0
"value__fft_coefficient__attr_""abs""__coeff_1",18.0
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",18.333333333333332
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",21.0
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",23.333333333333332
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",24.666666666666668
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",25.666666666666668
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",34.0
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",34.666666666666664
value__absolute_sum_of_changes,37.666666666666664
value__mean_abs_change,40.0
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",40.0
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",40.666666666666664
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",41.333333333333336
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",42.0
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",42.0
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",43.0
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",45.333333333333336
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",45.666666666666664
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",47.0
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",50.333333333333336
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",52.0
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",53.0
"value__fft_aggregated__aggtype_""variance""",55.333333333333336
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",56.0
"value__fft_aggregated__aggtype_""centroid""",58.333333333333336
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",60.333333333333336
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",61.0
value__cid_ce__normalize_False,63.666666666666664
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",68.33333333333333
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",69.33333333333333
value__percentage_of_reoccurring_datapoints_to_all_datapoints,74.66666666666667
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",78.33333333333333
"value__fft_coefficient__attr_""abs""__coeff_56",89.66666666666667
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",91.66666666666667
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",96.0
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",96.0
"value__fft_coefficient__attr_""abs""__coeff_2",103.33333333333333
value__variance_larger_than_standard_deviation,109.0
"value__fft_coefficient__attr_""abs""__coeff_98",114.33333333333333
